,census_tract,code_simple,score
0,100.0,11.0,75.1990452361
1,201.0,11.0,67.7899767502
2,202.0,11.0,58.5827901586
3,300.0,11.0,55.6130899385
4,400.0,11.0,59.353233123
5,500.0,11.0,54.6194442779
6,600.0,11.0,54.1842808922
7,700.0,11.0,56.3498204659
8,800.0,11.0,35.5099727384
9,900.0,11.0,43.3185032725
10,1000.0,11.0,54.636959585
11,1100.0,11.0,53.5731894974
12,1200.0,11.0,40.3240126641
13,1300.0,11.0,46.2438510124
14,1400.0,11.0,51.8456036072
15,1500.0,11.0,44.1076356917
16,1600.0,11.0,22.9625489191
17,1700.0,11.0,50.2712792862
18,1800.0,11.0,49.1309787179
19,1900.0,11.0,60.8667685272
20,2001.0,11.0,73.5667122713
21,2002.0,11.0,59.4898392458
22,2100.0,11.0,47.6504033598
23,2201.0,11.0,7.94594557575
24,2202.0,11.0,8.26998500488
25,2301.0,11.0,14.542696238
26,2302.0,11.0,8.73917124436
27,2401.0,11.0,21.9992835037
28,2402.0,11.0,12.4840761014
29,2501.0,11.0,13.9467796905
30,2502.0,11.0,29.8345232799
31,2601.0,11.0,14.0684470047
32,2602.0,11.0,14.3001446644
33,2702.0,11.0,42.4471498606
34,2703.0,11.0,43.7175022877
35,2705.0,11.0,44.9418033381
36,2707.0,11.0,11.8865967721
37,2708.0,11.0,11.3289419624
38,2709.0,11.0,7.49437796062
39,2710.0,11.0,13.0971731819
40,2711.0,11.0,21.1164783744
41,2712.0,11.0,34.3727751309
42,2801.0,11.0,5.42155207404
43,2803.0,11.0,43.6353770121
44,2804.0,11.0,27.1964626893
45,2902.0,11.0,49.1675440197
46,2903.0,11.0,49.2230746577
47,2904.0,11.0,17.2108967258
48,2905.0,11.0,30.2593162205
49,3001.0,11.0,28.6318112514
50,3003.0,11.0,53.9405599617
51,3004.0,11.0,15.3417111594
52,3101.0,11.0,34.7975699013
53,3103.0,11.0,42.3362283177
54,3105.0,11.0,38.922635496
55,3107.0,11.0,45.0002154
56,3109.0,11.0,53.6295898595
57,3111.0,11.0,8.31595893733
58,3112.0,11.0,33.7316556673
59,3113.0,11.0,49.2231859263
60,3114.0,11.0,42.8849803118
61,3115.0,11.0,15.1984919576
62,3201.0,11.0,20.1100785655
63,3202.0,11.0,31.3738237257
64,3208.0,11.0,31.6961343374
65,3209.0,11.0,29.4197012614
66,3211.0,11.0,43.1060346938
67,3212.0,11.0,57.1375190238
68,3213.0,11.0,56.6922654317
69,3214.0,11.0,30.9265982136
70,3301.0,11.0,14.9675483941
71,3303.0,11.0,11.7831725978
72,3304.0,11.0,9.16714529359
73,3305.0,11.0,5.2746732449
74,3401.0,11.0,41.7136024036
75,3403.0,11.0,13.0196992451
76,3404.0,11.0,12.4585386804
77,3501.0,11.0,13.8302022742
78,3502.0,11.0,9.45868673319
79,3601.0,11.0,12.2545315047
80,3602.0,11.0,16.3484619804
81,3603.0,11.0,21.7697794887
82,3800.0,11.0,0.0
83,3901.0,11.0,7.8052377785
84,3902.0,11.0,16.8705116233
85,4000.0,11.0,10.8520517227
86,4100.0,11.0,34.4544378746
87,4200.0,11.0,57.4080684244
88,4300.0,11.0,49.1660551019
89,4400.0,11.0,56.3046780646
90,4501.0,11.0,39.4621344911
91,4600.0,11.0,41.5485455768
92,4700.0,11.0,20.0335194924
93,4800.0,11.0,32.8408719711
94,4900.0,11.0,22.7225480446
95,5000.0,11.0,8.70135530687
96,5100.0,11.0,4.41452545996
97,5200.0,11.0,7.50527054361
98,5300.0,11.0,45.4362155862
99,5400.0,11.0,31.1409196663
100,5500.0,11.0,0.382168305429
101,5600.0,11.0,42.4125637658
102,5700.0,11.0,43.6168675075
103,5800.0,11.0,44.7893381749
104,5900.0,11.0,62.8593684002
105,6000.0,11.0,69.4675225904
106,6100.0,11.0,42.7610632131
107,6200.0,11.0,40.6476493704
108,6300.0,11.0,0.00777340311092
109,6500.0,11.0,68.8849667243
110,6600.0,11.0,2.75125509906
111,6801.0,11.0,36.6400099012
112,6802.0,11.0,44.7467047569
113,6900.0,11.0,62.0273638001
114,7002.0,11.0,72.2473182912
115,7100.0,11.0,78.6349771103
116,7200.0,11.0,46.2991009199
117,7301.0,11.0,56.5809914541
118,7302.0,11.0,64.6343623917
119,7400.0,11.0,45.2169641929
120,7501.0,11.0,47.5107292786
121,7502.0,11.0,57.2975679463
122,7600.0,11.0,37.618550029
123,7701.0,11.0,29.9671437429
124,7702.0,11.0,37.1500573817
125,7800.0,11.0,28.0977113574
126,7903.0,11.0,44.9942540331
127,7905.0,11.0,27.4924303297
128,7907.0,11.0,29.1147967448
129,7908.0,11.0,35.122847955
130,7910.0,11.0,43.0999655922
131,8002.0,11.0,48.9429347009
132,8003.0,11.0,51.0142825718
133,8006.0,11.0,47.2677284893
134,8101.0,11.0,49.039699903
135,8102.0,11.0,34.4806014807
136,8200.0,11.0,54.2447655348
137,8301.0,11.0,58.6301388002
138,8303.0,11.0,57.0404852352
139,8305.0,11.0,0.959684332342
140,8306.0,11.0,59.4756729992
141,8307.0,11.0,55.6209715766
142,8310.0,11.0,60.8528277937
143,8311.0,11.0,49.0266329574
144,8312.0,11.0,49.2948392315
145,8313.0,11.0,58.558564386
146,8324.0,11.0,60.1685088845
147,8327.0,11.0,52.3594142441
148,8328.0,11.0,17.189229727
149,8329.0,11.0,64.7281248064
150,8330.0,11.0,44.4777764818
151,8331.0,11.0,53.5297012984
152,8333.0,11.0,46.3650601039
153,8335.0,11.0,41.5149611384
154,8336.0,11.0,35.4670160491
155,8337.0,11.0,42.5311840447
156,8339.0,11.0,57.2624657174
157,8340.0,11.0,43.585852805
158,8341.0,11.0,27.1549714057
159,8343.0,11.0,14.6462312826
160,8344.0,11.0,48.3958012201
161,8345.0,11.0,61.4186585796
162,8346.0,11.0,68.2216579273
163,8347.0,11.0,44.7473541407
164,8348.0,11.0,43.3682030335
165,8349.0,11.0,40.7325858559
166,8350.0,11.0,96.8542088606
167,8351.0,11.0,36.0540127609
168,8352.0,11.0,35.1634508202
169,8353.0,11.0,41.0367090482
170,8354.0,11.0,40.9109811354
171,8355.0,11.0,37.7638495853
172,8356.0,11.0,36.1062537412
173,8357.0,11.0,35.2573199402
174,8358.0,11.0,43.6138868055
175,8359.0,11.0,20.0255124801
176,8360.0,11.0,49.8850819399
177,8361.0,11.0,37.7934612246
178,8362.0,11.0,41.2900141286
179,8363.0,11.0,14.3623159602
180,8364.0,11.0,31.4697907359
181,8365.0,11.0,50.297431561
182,8366.0,11.0,55.2452167808
183,8501.0,11.0,60.8542449135
184,8502.0,11.0,57.6544115257
185,8503.0,11.0,55.5901582733
186,8504.0,11.0,49.0179858924
187,8505.0,11.0,52.4614517616
188,8506.0,11.0,44.9537789986
189,8507.0,11.0,39.9330499998
190,8509.0,11.0,47.369526587
191,8510.0,11.0,37.2006459657
