,census_tract,code_simple,score
0,100.0,11.0,50.9105270884
1,201.0,11.0,49.1972024919
2,202.0,11.0,46.7734687109
3,300.0,11.0,59.6089629589
4,400.0,11.0,49.2456101909
5,500.0,11.0,58.0730681399
6,600.0,11.0,60.2115479699
7,700.0,11.0,52.2496440749
8,800.0,11.0,62.4138812514
9,900.0,11.0,68.8950971868
10,1000.0,11.0,69.8951109245
11,1100.0,11.0,62.5827563029
12,1200.0,11.0,62.3478108391
13,1300.0,11.0,55.4506236089
14,1400.0,11.0,55.8905576119
15,1500.0,11.0,70.2329790213
16,1600.0,11.0,46.3824729199
17,1700.0,11.0,72.9463824774
18,1800.0,11.0,51.573903232
19,1900.0,11.0,59.9807216939
20,2001.0,11.0,60.7050376055
21,2002.0,11.0,46.1636961558
22,2100.0,11.0,48.9509724795
23,2201.0,11.0,60.1875153296
24,2202.0,11.0,38.4570874472
25,2301.0,11.0,60.394398552
26,2302.0,11.0,41.8627281608
27,2401.0,11.0,54.9515484455
28,2402.0,11.0,59.8245813785
29,2501.0,11.0,55.5078404608
30,2502.0,11.0,54.0731033499
31,2601.0,11.0,53.5715457413
32,2602.0,11.0,74.1155142349
33,2702.0,11.0,55.4573313787
34,2703.0,11.0,59.1145469877
35,2705.0,11.0,63.7040771639
36,2707.0,11.0,59.9873628913
37,2708.0,11.0,61.3002924336
38,2709.0,11.0,68.221529516
39,2710.0,11.0,63.4940590281
40,2711.0,11.0,56.2755774142
41,2712.0,11.0,63.0404574551
42,2801.0,11.0,54.5151033502
43,2803.0,11.0,60.2278094756
44,2804.0,11.0,50.7899758407
45,2902.0,11.0,68.5680785162
46,2903.0,11.0,72.7298163798
47,2904.0,11.0,50.1529291007
48,2905.0,11.0,54.5975330726
49,3001.0,11.0,64.8717559583
50,3003.0,11.0,47.8384995995
51,3004.0,11.0,49.3928953087
52,3101.0,11.0,57.3080167624
53,3103.0,11.0,63.1826385628
54,3105.0,11.0,64.4416653854
55,3107.0,11.0,62.1603763934
56,3109.0,11.0,60.7000038344
57,3111.0,11.0,40.9077155793
58,3112.0,11.0,66.9782537136
59,3113.0,11.0,75.8909811124
60,3114.0,11.0,55.7778294852
61,3115.0,11.0,52.4084193122
62,3201.0,11.0,71.0995306907
63,3202.0,11.0,64.422460624
64,3208.0,11.0,61.2092800698
65,3209.0,11.0,57.6696511155
66,3211.0,11.0,50.7035354975
67,3212.0,11.0,75.383911279
68,3213.0,11.0,62.8280729144
69,3214.0,11.0,47.9844657811
70,3301.0,11.0,59.6230304691
71,3303.0,11.0,80.5948754466
72,3304.0,11.0,50.4987941347
73,3305.0,11.0,76.1297836565
74,3401.0,11.0,52.716992861
75,3403.0,11.0,46.5455981569
76,3404.0,11.0,71.4950476518
77,3501.0,11.0,47.4369217657
78,3502.0,11.0,45.5128824684
79,3601.0,11.0,39.8774687965
80,3602.0,11.0,54.2936826361
81,3603.0,11.0,67.2942163836
82,3800.0,11.0,57.0393605024
83,3901.0,11.0,48.2354798337
84,3902.0,11.0,47.5513897151
85,4000.0,11.0,56.7356690968
86,4100.0,11.0,47.7577406507
87,4200.0,11.0,55.5374890253
88,4300.0,11.0,51.874291048
89,4400.0,11.0,57.5700971787
90,4501.0,11.0,53.7838764257
91,4600.0,11.0,49.1804143104
92,4700.0,11.0,54.5409550366
93,4800.0,11.0,45.5343539443
94,4900.0,11.0,78.9461749346
95,5000.0,11.0,39.270462674
96,5100.0,11.0,45.2125102929
97,5200.0,11.0,69.5814257005
98,5300.0,11.0,56.9718518948
99,5400.0,11.0,56.4382861863
100,5500.0,11.0,81.6828678546
101,5600.0,11.0,55.6066634736
102,5700.0,11.0,51.7873930846
103,5800.0,11.0,51.986216594
104,5900.0,11.0,55.9591059202
105,6000.0,11.0,63.2152883913
106,6100.0,11.0,61.1690887259
107,6200.0,11.0,80.013793211
108,6300.0,11.0,61.2389443142
109,6500.0,11.0,56.7657622613
110,6600.0,11.0,38.0045990677
111,6801.0,11.0,65.5544898357
112,6802.0,11.0,52.9491976927
113,6900.0,11.0,53.2877327011
114,7002.0,11.0,58.1236456147
115,7100.0,11.0,52.8951678922
116,7200.0,11.0,53.4418176339
117,7301.0,11.0,66.1238114483
118,7302.0,11.0,55.0127272227
119,7400.0,11.0,56.1779094977
120,7501.0,11.0,58.4363695554
121,7502.0,11.0,48.9767796027
122,7600.0,11.0,46.5232165983
123,7701.0,11.0,78.7814738501
124,7702.0,11.0,66.9670290066
125,7800.0,11.0,54.34391031
126,7903.0,11.0,62.0665839751
127,7905.0,11.0,51.2498814503
128,7907.0,11.0,64.3876763559
129,7908.0,11.0,57.8911163092
130,7910.0,11.0,63.5617296563
131,8002.0,11.0,61.2098865017
132,8003.0,11.0,42.290607222
133,8006.0,11.0,71.2382849826
134,8101.0,11.0,61.4320790714
135,8102.0,11.0,64.2725205927
136,8200.0,11.0,62.9778023906
137,8301.0,11.0,54.9366726643
138,8303.0,11.0,62.8756848362
139,8305.0,11.0,70.0051165685
140,8306.0,11.0,59.5845357604
141,8307.0,11.0,56.3560107538
142,8310.0,11.0,62.9311836377
143,8311.0,11.0,62.9455902906
144,8312.0,11.0,56.6645050443
145,8313.0,11.0,66.2376874776
146,8324.0,11.0,75.3723736442
147,8327.0,11.0,52.7011237377
148,8328.0,11.0,68.4708308436
149,8329.0,11.0,61.2570263493
150,8330.0,11.0,62.9392930547
151,8331.0,11.0,64.6865731756
152,8333.0,11.0,60.8427556714
153,8335.0,11.0,54.0733856439
154,8336.0,11.0,41.2594272559
155,8337.0,11.0,52.0033409892
156,8339.0,11.0,53.5537161056
157,8340.0,11.0,55.6381546746
158,8341.0,11.0,38.36659445
159,8343.0,11.0,64.6749888181
160,8344.0,11.0,53.5289129599
161,8345.0,11.0,42.7572820715
162,8346.0,11.0,55.8062580248
163,8347.0,11.0,58.5197747983
164,8348.0,11.0,57.4983418705
165,8349.0,11.0,57.1175050738
166,8350.0,11.0,60.7443909616
167,8351.0,11.0,48.0351316183
168,8352.0,11.0,41.270445024
169,8353.0,11.0,49.9382673752
170,8354.0,11.0,65.7498723799
171,8355.0,11.0,53.4685650011
172,8356.0,11.0,65.5622797462
173,8357.0,11.0,48.0236245221
174,8358.0,11.0,48.9228024726
175,8359.0,11.0,54.6251403679
176,8360.0,11.0,54.9171657422
177,8361.0,11.0,62.8424217995
178,8362.0,11.0,65.7679315991
179,8363.0,11.0,55.1677271712
180,8364.0,11.0,58.4408644969
181,8365.0,11.0,43.4139661815
182,8366.0,11.0,53.3914204821
183,8501.0,11.0,48.3131693031
184,8502.0,11.0,60.0817531181
185,8503.0,11.0,49.4360135916
186,8504.0,11.0,50.1466260119
187,8505.0,11.0,62.6879709032
188,8506.0,11.0,56.2164020973
189,8507.0,11.0,61.632805552
190,8509.0,11.0,57.0555378434
191,8510.0,11.0,45.3108394059
192,8511.0,11.0,67.239846501
193,8512.0,11.0,50.1592873345
194,8513.0,11.0,59.059424346
195,8600.0,11.0,46.0145473942
196,8701.0,11.0,60.7934414995
197,8702.0,11.0,53.2226358611
198,8800.0,11.0,42.3734043884
199,8901.0,11.0,48.2131356432
200,8902.0,11.0,52.8332299201
201,9000.0,11.0,59.9972988231
202,9101.0,11.0,56.3498627025
203,9102.0,11.0,70.2118795598
204,9103.0,11.0,51.8307006138
205,9104.0,11.0,55.8405348622
206,9106.0,11.0,41.3943835828
207,9107.0,11.0,49.6790534848
208,9201.0,11.0,46.3169570039
209,9202.0,11.0,69.1957785917
210,9301.0,11.0,53.5299743772
211,9304.0,11.0,60.4394722881
212,9305.0,11.0,45.0966236755
213,9306.0,11.0,57.2030396333
214,9400.0,11.0,57.7315050957
215,9502.0,11.0,49.2162815899
216,9504.0,11.0,54.6513300705
217,9505.0,11.0,51.0946792057
218,9506.0,11.0,45.8822459293
219,9507.0,11.0,44.4163405486
220,9509.0,11.0,45.6159084259
221,9510.0,11.0,72.5758685322
222,9511.0,11.0,79.2796612572
223,9602.0,11.0,52.8842107061
224,9603.0,11.0,56.7106587259
225,9604.0,11.0,61.5068071421
226,9703.0,11.0,59.458192959
227,9704.0,11.0,54.4631320946
228,9705.0,11.0,58.1330720359
229,9706.0,11.0,59.4842228901
230,9801.0,11.0,47.8211361224
231,9802.0,11.0,57.2149020614
232,9804.0,11.0,62.6646166283
233,9805.0,11.0,57.1221686512
234,9902.0,11.0,34.4082088897
235,10001.0,11.0,57.004800502
236,10003.0,11.0,78.3152762276
237,10004.0,11.0,53.4490828913
238,10005.0,11.0,53.3600069981
239,10009.0,11.0,53.0944073714
240,10010.0,11.0,63.7119050531
241,10011.0,11.0,71.4242354408
242,10012.0,11.0,53.8525558386
243,10013.0,11.0,73.2342678691
244,10014.0,11.0,59.2599618764
245,10015.0,11.0,53.3653587194
246,10103.0,11.0,60.5887968287
247,10104.0,11.0,68.6754668966
248,10106.0,11.0,60.7817003843
249,10107.0,11.0,60.2493753484
250,10109.0,11.0,68.2593935323
251,10110.0,11.0,58.1965689672
252,10111.0,11.0,57.568522451
253,10112.0,11.0,73.0141953621
254,10800.0,11.0,82.8833274261
255,11000.0,11.0,50.6948302045
256,11100.0,11.0,94.60720256
257,11300.0,11.0,42.5175597506
258,11902.0,11.0,93.8739969712
259,13205.0,11.0,34.1352260689
260,13313.0,11.0,33.2293589353
261,13421.0,11.0,26.1810432984
262,13604.0,11.0,18.0381197339
263,14102.0,11.0,55.9462372282
264,14500.0,11.0,55.8334395457
265,14803.0,11.0,94.2342066342
266,14806.0,11.0,33.4558269792
267,15000.0,11.0,36.4270337363
268,15501.0,11.0,55.6107070356
269,16502.0,11.0,5.28977722994
270,17006.0,11.0,50.1958635789
271,17014.0,11.0,55.9094713254
272,17015.0,11.0,63.3444999558
273,17018.0,11.0,63.2125930797
274,17019.0,11.0,64.7897859012
275,17020.0,11.0,80.6521630727
276,17022.0,11.0,56.3056239296
277,17029.0,11.0,62.3191548221
278,17030.0,11.0,76.2389935251
279,17031.0,11.0,61.9248831871
280,17032.0,11.0,50.4236517038
281,17033.0,11.0,49.6653730191
282,17034.0,11.0,54.3108013459
283,17035.0,11.0,58.4735921386
284,17036.0,11.0,48.0891078146
285,17037.0,11.0,47.5792637136
286,17039.0,11.0,57.032159923
287,17042.0,11.0,56.1581637982
288,17043.0,11.0,58.8161563153
289,17044.0,11.0,62.8084725984
290,17045.0,11.0,50.5333487723
291,17046.0,11.0,57.7200959966
292,17047.0,11.0,55.1037122684
293,17050.0,11.0,70.9405497887
294,17051.0,11.0,67.1235908175
295,17052.0,11.0,69.5894564179
296,17054.0,11.0,76.8588958491
297,17055.0,11.0,50.3126827177
298,17056.0,11.0,50.6089386183
299,17403.0,11.0,0.785350698826
300,18802.0,11.0,57.477127301
301,19103.0,11.0,38.2260445164
302,19905.0,11.0,42.7913489017
303,20017.0,11.0,50.8911388686
304,20404.0,11.0,43.1083315992
305,20706.0,11.0,50.6823479136
306,20707.0,11.0,87.3178518137
307,20709.0,11.0,96.6384961143
308,20710.0,11.0,35.3712653353
309,21100.0,11.0,55.1248530032
310,21302.0,11.0,65.8283918903
311,21400.0,11.0,52.3023685151
312,21500.0,11.0,58.687831725
313,21800.0,11.0,77.748249131
314,100.0,21.0,50.1251763896
315,201.0,21.0,48.4118517931
316,202.0,21.0,45.988118012
317,300.0,21.0,58.82361226
318,400.0,21.0,48.4602594921
319,500.0,21.0,57.2877174411
320,600.0,21.0,59.4261972711
321,700.0,21.0,51.4642933761
322,800.0,21.0,61.6285305526
323,900.0,21.0,68.109746488
324,1000.0,21.0,69.1097602257
325,1100.0,21.0,61.7974056041
326,1200.0,21.0,61.5624601403
327,1300.0,21.0,54.6652729101
328,1400.0,21.0,55.1052069131
329,1500.0,21.0,69.4476283224
330,1600.0,21.0,45.597122221
331,1700.0,21.0,72.1610317785
332,1800.0,21.0,50.7885525332
333,1900.0,21.0,59.195370995
334,2001.0,21.0,59.9196869066
335,2002.0,21.0,45.378345457
336,2100.0,21.0,48.1656217806
337,2201.0,21.0,59.4021646308
338,2202.0,21.0,37.6717367483
339,2301.0,21.0,59.6090478531
340,2302.0,21.0,41.077377462
341,2401.0,21.0,54.1661977467
342,2402.0,21.0,59.0392306797
343,2501.0,21.0,54.722489762
344,2502.0,21.0,53.2877526511
345,2601.0,21.0,52.7861950425
346,2602.0,21.0,73.330163536
347,2702.0,21.0,54.6719806799
348,2703.0,21.0,58.3291962889
349,2705.0,21.0,62.9187264651
350,2707.0,21.0,59.2020121925
351,2708.0,21.0,60.5149417347
352,2709.0,21.0,67.4361788172
353,2710.0,21.0,62.7087083292
354,2711.0,21.0,55.4902267154
355,2712.0,21.0,62.2551067563
356,2801.0,21.0,53.7297526513
357,2803.0,21.0,59.4424587768
358,2804.0,21.0,50.0046251418
359,2902.0,21.0,67.7827278174
360,2903.0,21.0,71.9444656809
361,2904.0,21.0,49.3675784018
362,2905.0,21.0,53.8121823737
363,3001.0,21.0,64.0864052594
364,3003.0,21.0,47.0531489007
365,3004.0,21.0,48.6075446099
366,3101.0,21.0,56.5226660636
367,3103.0,21.0,62.397287864
368,3105.0,21.0,63.6563146866
369,3107.0,21.0,61.3750256946
370,3109.0,21.0,59.9146531356
371,3111.0,21.0,40.1223648804
372,3112.0,21.0,66.1929030148
373,3113.0,21.0,75.1056304136
374,3114.0,21.0,54.9924787863
375,3115.0,21.0,51.6230686134
376,3201.0,21.0,70.3141799918
377,3202.0,21.0,63.6371099252
378,3208.0,21.0,60.4239293709
379,3209.0,21.0,56.8843004167
380,3211.0,21.0,49.9181847987
381,3212.0,21.0,74.5985605802
382,3213.0,21.0,62.0427222156
383,3214.0,21.0,47.1991150823
384,3301.0,21.0,58.8376797702
385,3303.0,21.0,79.8095247478
386,3304.0,21.0,49.7134434359
387,3305.0,21.0,75.3444329577
388,3401.0,21.0,51.9316421622
389,3403.0,21.0,45.7602474581
