,census_tract,score
0,100,69.6344776754
1,201,76.7599838533
2,202,61.5135882083
3,300,67.2440489709
4,400,65.5688737759
5,500,62.2003636117
6,600,58.2019428843
7,700,62.3956318655
8,800,43.8851195743
9,900,47.2960934041
10,1000,56.8188259302
11,1100,59.5252198566
12,1200,46.038119408
13,1300,47.8719916643
14,1400,58.2984426166
15,1500,53.1130703972
16,1600,27.4801006617
17,1700,52.2212217537
18,1800,52.3111274287
19,1900,68.6233616787
20,2001,74.2511078071
21,2002,62.0022783475
22,2100,52.4121510849
23,2201,11.5131832381
24,2202,13.3077439968
25,2301,30.6145432638
26,2302,14.3897933256
27,2401,26.1751916309
28,2402,13.7640932713
29,2501,18.0303396914
30,2502,32.7685058828
31,2601,16.7534106903
32,2602,15.6277848472
33,2702,43.2326425265
34,2703,41.4637110896
35,2705,42.282555238
36,2707,13.0946847321
37,2708,13.3707335008
38,2709,10.6466759046
39,2710,19.6561946184
40,2711,11.8822083954
41,2712,38.4700587601
42,2801,7.55690146646
43,2803,46.6966750772
44,2804,20.3657133875
45,2902,50.7613792496
46,2903,46.509988795
47,2904,16.055046639
48,2905,33.9934627156
49,3001,34.0405637559
50,3003,43.7632971561
51,3004,16.0568637049
52,3101,28.8110723924
53,3103,40.4341426698
54,3105,30.8487365188
55,3107,37.5499166801
56,3109,54.5624196581
57,3111,12.8754003342
58,3112,32.9027762052
59,3113,50.2182372382
60,3114,39.9920544493
61,3115,35.6340657164
62,3201,13.421956752
63,3202,37.0042756676
64,3208,33.2561802078
65,3209,33.9441056316
66,3211,40.8248029299
67,3212,45.8934793802
68,3213,52.6460691551
69,3214,34.3154332533
70,3301,14.7975684671
71,3303,17.3000461515
72,3304,7.46693659629
73,3305,12.7615978299
74,3401,41.635924772
75,3403,17.8117835
76,3404,12.18862729
77,3501,14.0168099761
78,3502,10.5627651623
79,3601,12.6565726902
80,3602,17.7998883657
81,3603,21.1851684038
82,3800,0.0
83,3901,7.45797821469
84,3902,17.105274682
85,4000,13.0756679653
86,4100,33.6077158819
87,4200,57.0258174505
88,4300,59.6018168813
89,4400,62.9349821039
90,4501,43.0570656052
91,4600,52.0533807302
92,4700,24.4981101148
93,4800,28.8003437291
94,4900,23.1582173724
95,5000,12.5560006319
96,5100,12.4913059629
97,5200,16.018158356
98,5300,70.496512151
99,5400,44.4165696155
100,5500,0.265587269561
101,5600,54.615728173
102,5700,52.7056581421
103,5800,49.8285478855
104,5900,69.3799426589
105,6000,76.238749747
106,6100,53.2847831189
107,6200,54.9838516009
108,6300,0.00340117042924
109,6500,74.7732015836
110,6600,0.45516773228
111,6801,40.9569556678
112,6802,44.1305023947
113,6900,66.315540255
114,7002,71.7079062189
115,7100,77.0838524402
116,7200,49.0642855585
117,7301,57.086124663
118,7302,62.8652248794
119,7400,48.3496133912
120,7501,50.7789331837
121,7502,59.0178167948
122,7600,32.208424716
123,7701,41.6309645139
124,7702,39.7688057948
125,7800,31.6889200114
126,7903,43.3553826874
127,7905,26.5363381186
128,7907,36.8398048818
129,7908,40.112670415
130,7910,43.7848709883
131,8002,53.4145164127
132,8003,49.3149202242
133,8006,52.2801638616
134,8101,47.6835016874
135,8102,50.0512986343
136,8200,66.9475571794
137,8301,64.7417964394
138,8303,67.2392660839
139,8305,5.46460477873
140,8306,60.13541599
141,8307,61.8242919922
142,8310,69.2504008683
