,census_tract,score
0,100,41.6512679429
1,201,40.5448415173
2,202,26.9556652021
3,300,33.2389929946
4,400,31.7006011948
5,500,33.7453640773
6,600,29.9093254091
7,700,30.5443555097
8,800,15.9629932684
9,900,17.272283903
10,1000,20.5173182952
11,1100,29.0521575009
12,1200,9.09334361496
13,1300,6.77049574183
14,1400,18.1317346593
15,1500,18.5726379164
16,1600,11.2775817543
17,1700,26.2918855742
18,1800,26.3772302226
19,1900,34.9895462346
20,2001,37.1827701507
21,2002,28.1354826167
22,2100,24.4091465769
23,2201,11.6657638702
24,2202,17.6955675668
25,2301,27.9416413962
26,2302,14.7403859548
27,2401,10.5286539531
28,2402,10.4324035745
29,2501,14.6867773389
30,2502,14.9377259397
31,2601,12.8010882397
32,2602,10.0129128968
33,2702,23.0109430349
34,2703,21.6783696342
35,2705,28.6496990199
36,2707,9.00554608655
37,2708,10.5886241086
38,2709,11.9185114373
39,2710,14.2347767575
40,2711,10.290907155
41,2712,24.1223679912
42,2801,16.5635761368
43,2803,21.4356896048
44,2804,14.1907466407
45,2902,28.9535389503
46,2903,23.6866459883
47,2904,19.5772841322
48,2905,17.6983492081
49,3001,19.4662630507
50,3003,26.2953977424
51,3004,15.7462165904
52,3101,22.8009736734
53,3103,29.2123126019
54,3105,22.5954831053
55,3107,23.7204221176
56,3109,24.4288277326
57,3111,14.6937308702
58,3112,20.4636486205
59,3113,28.6744595276
60,3114,21.0323469282
61,3115,24.8644262618
62,3201,9.29717770356
63,3202,26.5628171703
64,3208,17.0939981375
65,3209,14.0595354276
66,3211,24.9306440496
67,3212,27.3691593178
68,3213,22.1019603582
69,3214,13.2346461653
70,3301,26.6998163384
71,3303,16.949158346
72,3304,15.5707685662
73,3305,18.4758611455
74,3401,17.5031395499
75,3403,18.2529330499
76,3404,18.3424468447
77,3501,20.1184201387
78,3502,23.7393080762
79,3601,21.5195411182
80,3602,19.5128324911
81,3603,23.6833445068
82,3800,6.85741119831
83,3901,24.8923807742
84,3902,26.5906739352
85,4000,21.8839111618
86,4100,22.7765860779
87,4200,16.676276925
88,4300,15.9679592186
89,4400,33.9455060688
90,4501,26.6390888118
91,4600,30.6237488875
92,4700,23.5106704874
93,4800,29.6316702377
94,4900,27.2651502125
95,5000,16.2593096784
96,5100,16.4278546797
97,5200,5.76032932412
98,5300,99.9999940846
99,5400,1.16384906045
100,5600,18.8341527154
101,5700,59.1529467996
102,5800,17.2376928829
103,5900,41.1475037674
104,6000,53.9669953171
105,6100,32.387657545
106,6200,55.6079973885
107,6300,26.2783431583
108,6500,53.2465664793
109,6600,0.0527943641536
110,6801,21.1638957861
111,6802,14.7963590751
112,6900,31.5726055517
113,7002,39.1148299607
114,7100,35.802739679
115,7200,11.2240488747
116,7301,18.4614555743
117,7302,30.9359943121
118,7400,11.0552755144
119,7501,21.7985870043
120,7502,27.1245551423
121,7600,2.24197439331
122,7701,7.64007122511
123,7702,10.8990766924
124,7800,9.41827283767
125,7903,10.0784947678
126,7905,16.0049415594
127,7907,13.7664179489
128,7908,12.9084350756
129,7910,17.3585386131
130,8002,22.7890316956
131,8003,10.9238064294
132,8006,6.25223128603
133,8101,10.0594278225
134,8102,4.52124762768
135,8200,32.216664603
136,8301,39.6945015417
137,8303,26.1779403096
138,8305,24.5253655954
139,8306,27.925696653
140,8307,30.1305226896
141,8310,10.127418171
142,8311,10.8821881725
143,8312,11.9005622917
144,8313,13.0518093134
145,8327,5.42537690823
146,8328,1.75304987589
147,8329,18.1761769341
148,8330,8.09468452331
149,8331,5.0789233846
150,8333,5.89923044545
151,8335,1.07166764432
152,8336,9.85228562529
153,8337,10.4671164113
154,8339,37.4160486329
155,8340,0.382536246827
156,8341,1.29070610995
157,8343,4.98977804031
158,8344,18.0510215501
159,8345,38.9461297137
160,8346,29.6485619233
161,8347,9.68269326241
162,8348,9.29720079046
163,8349,13.5825174809
164,8350,51.1435862976
165,8351,14.1686820622
166,8352,7.06535614014
167,8353,15.9416513348
168,8354,2.84161404325
169,8355,6.13103713032
170,8356,8.90362773896
171,8357,10.3128614822
172,8358,14.0502870053
173,8359,4.74007059407
174,8360,13.9339049952
175,8361,8.89599932251
176,8362,9.98436388429
177,8363,3.68567787161
178,8364,2.5565339495
179,8365,7.04699766854
180,8366,7.96688661098
181,8501,29.2176167339
182,8502,26.2266457435
183,8503,23.7785778535
184,8504,21.1165021211
185,8505,27.9163223536
186,8506,20.3225821893
187,8507,17.0402878447
188,8509,21.5079396677
189,8510,22.1621712989
190,8511,56.585604457
191,8512,23.4098053722
192,8513,16.2208967513
193,8600,12.859966665
194,8701,2.54105895874
195,8702,17.0949556403
196,8800,18.2064956917
197,8901,6.79144840954
198,8902,10.650474876
199,9000,15.3641309389
200,9101,31.8314017318
201,9102,16.5892224132
202,9103,30.1229224971
203,9104,32.4169013909
204,9106,25.0624816571
205,9107,12.5097519703
206,9201,1.48288318161
207,9202,7.43538332436
208,9301,14.0192791521
209,9304,15.9289019709
210,9305,3.20101019543
211,9306,5.40138879639
212,9502,18.6957408249
213,9504,2.68550471056
214,9505,8.05737178725
215,9506,11.4618829503
216,9507,14.6502632735
217,9509,5.28632543017
218,9510,0.0568856748548
219,9511,0.0
220,9602,34.4129387016
221,9603,9.95741784382
222,9604,26.7606577702
223,9703,33.4050191195
224,9704,23.1527149711
225,9705,20.6692809697
226,9706,30.3478725495
227,9801,28.5395666749
228,9802,19.2966471907
229,9804,27.7773228652
230,9805,28.7557843556
231,10001,11.9608656759
232,10003,18.9055724814
233,10004,23.1056654595
234,10005,25.8473234889
235,10009,14.8122083777
236,10010,20.9776581024
237,10011,19.7006713901
238,10013,22.9281616526
239,10014,18.3446185689
240,10015,6.14024134167
241,10103,19.7505815416
242,10104,24.9878800712
243,10106,17.1371243612
244,10107,7.13359146448
245,10109,1.58348156986
246,10110,6.7495304042
247,10112,2.21565803518
248,10800,22.2453597487
249,11100,15.1195182691
250,13205,5.17541629185
251,13421,12.7621480079
252,13604,11.5456886679
253,14102,24.3877855684
254,14500,27.2250514984
255,16502,15.1776582082
256,17006,17.6490304906
257,17014,66.1056815883
258,17015,11.0317722119
259,17018,12.8751742026
260,17019,38.3594487098
261,17020,14.165743008
262,17022,33.9581241126
263,17029,2.16332188079
264,17030,0.42462414909
265,17031,4.75327896667
266,17032,12.9913857891
267,17033,12.422033733
268,17034,7.22896335979
269,17035,18.308351794
270,17036,12.1428184301
271,17037,11.4349901475
272,17039,5.54083261298
273,17042,1.18130312246
274,17043,4.59212604775
275,17044,3.26434946106
276,17045,2.79350836344
277,17046,14.1599869569
278,17047,12.0295163617
279,17051,23.1688122778
280,17052,11.7536113686
281,17055,9.2519087987
282,17056,8.60995023388
283,18802,25.7703735827
284,20017,16.4158974606
285,21400,14.8263385601
286,21500,1.42646501424
287,21800,30.5225996918
